station,start_from,end_in,trip_duration_start_from,trip_duration_end_in,month
Journal Square,76,57,450.0,346.0,Apr
Leonard Gordon Park,21,22,914.0,1260.0,Apr
5 Corners Library,35,28,475.0,655.0,Apr
Communipaw & Berry Lane,38,60,1267.5,780.5,Apr
Sip Ave,597,582,555.0,404.5,May
Columbus Dr at Exchange Pl,910,926,1266.0,1342.0,May
Montgomery St,320,325,774.5,620.0,May
Monmouth and 6th,264,262,1010.5,564.5,May
McGinley Square,301,257,671.0,865.0,May
Brunswick St,320,293,1006.0,1137.0,May
Fairmount Ave,213,195,737.0,573.0,May
Dixon Mills,300,295,780.0,582.0,May
Morris Canal,752,759,1572.5,1476.0,May
Newark Ave,587,596,799.0,775.5,May
Oakland Ave,126,93,693.0,941.0,May
Hamilton Park,996,1021,1135.5,876.0,May
Harborside,937,923,1323.0,1210.0,May
Columbus Drive,541,556,1179.0,969.0,May
Bergen Ave,264,255,417.0,472.0,May
Grove St PATH,1061,1108,830.0,784.0,May
JC Medical Center,1068,1075,1555.5,1966.0,May
Hilltop,247,219,983.0,923.0,May
Marin Light Rail,1032,1027,1413.5,1459.0,May
Newport Pkwy,1729,1742,1547.0,1550.0,May
Christ Hospital,104,105,667.0,915.0,May
Jackson Square,116,119,1030.5,1179.0,May
5 Corners Library,82,75,1021.5,1015.0,May
Brunswick & 6th,297,289,785.0,659.0,May
Jersey & 6th St,288,286,867.0,774.0,May
Washington St,684,703,1432.5,1488.0,May
Glenwood Ave,129,127,1108.0,1434.0,May
Lafayette Park,264,285,1487.0,1613.0,May
Union St,145,150,1132.0,1052.5,May
City Hall,808,810,1079.0,1142.5,May
Essex Light Rail,274,278,1111.5,926.0,May
Liberty Light Rail,2380,2415,2415.5,2272.0,May
Astor Place,247,241,933.0,720.0,May
Journal Square,147,118,689.0,954.5,May
Lincoln Park,482,470,1725.0,1815.5,May
Van Vorst Park,600,603,1373.5,1582.0,May
Heights Elevator,329,328,1692.0,1816.0,May
Jersey & 3rd,382,385,704.5,1071.0,May
York St,285,270,1351.0,964.5,May
Newport PATH,688,709,1176.5,1285.0,May
Manila & 1st,388,387,924.0,878.0,May
Dey St,140,120,1063.5,1021.0,May
Hoboken Ave at Monmouth St,452,461,1668.0,1783.0,May
Baldwin at Montgomery,312,313,859.5,982.0,May
Warren St,657,673,1078.0,1009.0,May
Communipaw & Berry Lane,239,244,1670.0,1699.0,May
Grand St,429,421,1326.0,1380.0,May
Paulus Hook,693,710,1571.0,1528.0,May
Pershing Field,237,234,1308.0,1639.5,May
Riverview Park,163,161,1689.0,1616.0,May
Leonard Gordon Park,71,65,1833.0,1447.0,May
Columbus Dr at Exchange Pl,1589,1607,1376.0,1407.0,Jun
Heights Elevator,508,493,1736.0,1939.0,Jun
Columbus Drive,796,793,859.5,829.0,Jun
Morris Canal,1006,1010,1254.5,1110.0,Jun
Harborside,1481,1494,1121.0,947.0,Jun
Grove St PATH,1819,2073,618.0,603.0,Jun
York St,377,379,1105.0,883.0,Jun
Sip Ave,1025,938,557.0,463.5,Jun
Hilltop,457,357,728.0,957.0,Jun
Oakland Ave,195,150,705.0,782.5,Jun
Lincoln Park,888,921,1690.5,1738.0,Jun
Glenwood Ave,240,217,911.0,1280.0,Jun
Hamilton Park,1694,1734,975.0,840.5,Jun
Newport Pkwy,2604,2618,1387.0,1426.5,Jun
Baldwin at Montgomery,546,524,695.5,791.0,Jun
Washington St,933,933,1291.0,1336.0,Jun
Newark Ave,898,914,767.0,654.5,Jun
Bergen Ave,310,311,514.0,449.0,Jun
Essex Light Rail,428,432,1164.5,927.5,Jun
Christ Hospital,171,155,625.0,888.0,Jun
Liberty Light Rail,2589,2621,2327.0,2249.0,Jun
Brunswick St,442,447,673.5,604.0,Jun
Marin Light Rail,1459,1490,1013.0,1054.0,Jun
Monmouth and 6th,321,320,603.0,538.0,Jun
JC Medical Center,1223,1237,1085.0,1415.0,Jun
Van Vorst Park,801,815,977.0,1003.0,Jun
Jersey & 6th St,484,492,610.0,604.5,Jun
McGinley Square,533,389,511.0,674.0,Jun
Paulus Hook,1141,1138,1503.0,1522.5,Jun
Astor Place,373,379,747.0,724.0,Jun
Hoboken Ave at Monmouth St,642,640,1455.5,1647.0,Jun
City Hall,1061,1078,842.0,878.0,Jun
Dey St,201,177,1100.0,852.0,Jun
Riverview Park,273,260,1218.0,1419.5,Jun
Jersey & 3rd,632,633,564.0,659.0,Jun
Pershing Field,403,375,1214.0,1313.0,Jun
Journal Square,199,171,727.0,674.0,Jun
Union St,288,289,1619.0,1582.0,Jun
Manila & 1st,521,521,811.0,779.0,Jun
Newport PATH,1143,1138,1020.0,981.0,Jun
Warren St,919,917,829.0,732.0,Jun
Dixon Mills,350,365,460.0,455.0,Jun
Montgomery St,403,403,763.0,622.0,Jun
Jackson Square,215,225,1423.0,1672.0,Jun
5 Corners Library,221,172,930.0,1061.0,Jun
Grand St,632,645,990.0,1041.0,Jun
Lafayette Park,361,388,1048.0,1343.0,Jun
Communipaw & Berry Lane,262,277,1643.5,1468.0,Jun
Fairmount Ave,279,263,731.0,671.0,Jun
Brunswick & 6th,409,418,645.0,582.0,Jun
Leonard Gordon Park,176,163,1184.0,1380.0,Jun
Jackson Square,218,218,1180.5,1407.0,Jul
Hoboken Ave at Monmouth St,555,549,1117.0,1217.0,Jul
Columbus Dr at Exchange Pl,1467,1525,992.0,1072.0,Jul
Glenwood Ave,196,193,658.5,988.0,Jul
Union St,260,264,1378.5,1475.0,Jul
Marin Light Rail,1612,1631,846.5,804.0,Jul
Hilltop,364,300,704.5,799.5,Jul
Grove St PATH,2210,2450,464.5,457.0,Jul
Jersey & 6th St,564,563,379.0,443.0,Jul
Harborside,1423,1422,898.0,818.0,Jul
Lincoln Park,907,940,1471.0,1536.0,Jul
Sip Ave,1433,1262,524.0,454.0,Jul
Lafayette Park,509,535,1064.0,1118.0,Jul
Dixon Mills,485,483,424.0,452.0,Jul
Oakland Ave,297,200,804.0,1012.0,Jul
Montgomery St,418,414,669.5,565.5,Jul
Hamilton Park,1761,1776,674.0,625.5,Jul
Leonard Gordon Park,153,148,929.0,1178.0,Jul
Fairmount Ave,320,272,625.0,509.0,Jul
Newport Pkwy,2679,2694,1204.0,1282.5,Jul
Morris Canal,1079,1089,1045.0,946.0,Jul
Bergen Ave,392,372,472.0,448.0,Jul
Baldwin at Montgomery,573,571,663.0,712.0,Jul
JC Medical Center,1398,1427,983.0,1159.0,Jul
Warren St,1030,1037,667.0,642.0,Jul
Riverview Park,199,198,1080.0,1236.0,Jul
Van Vorst Park,804,829,649.0,669.0,Jul
Essex Light Rail,535,557,672.0,738.0,Jul
Newark Ave,968,970,597.0,529.0,Jul
Washington St,988,986,1176.0,1005.5,Jul
Pershing Field,371,367,1182.0,1277.0,Jul
Jersey & 3rd,622,629,424.5,473.0,Jul
Columbus Drive,815,802,831.0,783.0,Jul
York St,391,390,623.0,693.0,Jul
Monmouth and 6th,350,357,465.5,444.0,Jul
Heights Elevator,369,357,1390.0,1559.0,Jul
Liberty Light Rail,2322,2346,1921.5,1928.5,Jul
Dey St,175,172,1101.0,925.0,Jul
City Hall,1106,1176,727.5,592.5,Jul
McGinley Square,582,400,416.0,393.5,Jul
Paulus Hook,1069,1078,1268.0,1280.0,Jul
Brunswick St,497,507,634.0,534.0,Jul
Grand St,499,513,714.0,790.0,Jul
Communipaw & Berry Lane,298,310,1346.5,1187.0,Jul
Astor Place,411,393,599.0,596.0,Jul
Christ Hospital,139,115,621.0,603.0,Jul
Brunswick & 6th,441,445,539.0,487.0,Jul
Newport PATH,1417,1418,891.0,824.0,Jul
Manila & 1st,555,554,576.0,599.0,Jul
5 Corners Library,195,197,894.0,1006.0,Jul
Journal Square,258,246,672.0,781.0,Jul
City Hall,1112,1185,606.0,577.0,Aug
Grove St PATH,2581,2836,447.0,449.0,Aug
Heights Elevator,440,422,1256.5,1563.5,Aug
Paulus Hook,1101,1123,1060.0,1191.0,Aug
Columbus Drive,935,939,696.0,616.0,Aug
Washington St,1224,1227,1014.5,1037.0,Aug
